Name,ID,Type,SKU,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 3 default,Attribute 6 default
Deluxe Waste Coupling Half Thread - 5040,7024,simple,PLATO5040,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Bathroom > Accessories > Allied,,,https://i.postimg.cc/J0n6Ykvt/5040.jpg,,,,,,,,,,Material,Brass,1,0,Size,32 mm,1,0,,Package Content,Waste Coupling Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Deluxe Waste Coupling Full Thread - 5041,7025,simple,PLATO5041,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Bathroom > Accessories > Allied,,,https://i.postimg.cc/3w8gZHPx/5041.jpg,,,,,,,,,,Material,Brass,1,0,Size,32 mm,1,0,,Package Content,Waste Coupling Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Crown Waste Coupling Half Thread - 5042,7026,simple,PLATO5042,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Bathroom > Accessories > Allied,,,https://i.postimg.cc/DZmLtPfV/5042.jpg,,,,,,,,,,Material,Brass,1,0,Size,32 mm,1,0,,Package Content,Waste Coupling Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Crown Waste Coupling Full Thread - 5043,7027,simple,PLATO5043,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Bathroom > Accessories > Allied,,,https://i.postimg.cc/907ZSCP5/5043.jpg,,,,,,,,,,Material,Brass,1,0,Size,32 mm,1,0,,Package Content,Waste Coupling Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Long Waste Coupling Full Thread - 5046,7028,simple,PLATO5046,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Bathroom > Accessories > Allied,,,https://i.postimg.cc/jSKPgVLm/5046.jpg,,,,,,,,,,Material,Brass,1,0,Size,32mm x 125 mm,1,0,,Package Content,Waste Coupling Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Long Waste Coupling Full Thread - 5048,7029,simple,PLATO5048,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Bathroom > Accessories > Allied,,,https://i.postimg.cc/Xv15YpQ6/5048.jpg,,,,,,,,,,Material,Brass,1,0,Size,32mm x 225 mm,1,0,,Package Content,Waste Coupling Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Bath Tub Waste Coupling with Over Flow - 5049,7030,simple,PLATO5049,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Bathroom > Accessories > Allied,,,https://i.postimg.cc/zB9RT6sd/5049.jpg,,,,,,,,,,Material,Brass,1,0,Size,,1,0,,Package Content,Waste Coupling Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
SS ABS Sink Coupling - 5050,7031,simple,PLATO5050,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Bathroom > Accessories > Allied,,,https://i.postimg.cc/YqNmmXb3/5050.jpg,,,,,,,,,,Material,Stainless Steel & ABS,1,0,Size,75 mm,1,0,,Package Content,Waste Coupling Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Waste Coupling Heavy Full Thread - 5087,7032,simple,PLATO5087,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Bathroom > Accessories > Allied,,,https://i.postimg.cc/sxY17X9X/5087.jpg,,,,,,,,,,Material,Brass,1,0,Size,50 mm,1,0,,Package Content,Waste Coupling Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Deluxe Urinal Waste Coupling- 5053,7033,simple,PLATO5053,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Bathroom > Accessories > Allied,,,https://i.postimg.cc/8zKchxWh/5053.jpg,,,,,,,,,,Material,Brass,1,0,Size,32 mm,1,0,,Package Content,Waste Coupling Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Spl. Pop-Up Waste Coupling Full Thread - 5054,7034,simple,PLATO5054,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Bathroom > Accessories > Allied,,,https://i.postimg.cc/0j02r4PK/5054.jpg,,,,,,,,,,Material,Brass,1,0,Size,32 mm,1,0,,Package Content,Waste Coupling Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
SS Sink Coupling Heavy - 5056,7035,simple,PLATO5056,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Bathroom > Accessories > Allied,,,https://i.postimg.cc/ydqVjKNS/5056.jpg,,,,,,,,,,Material,Stainless Steel,1,0,Size,100 mm,1,0,,Package Content,Waste Coupling Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
SS Waste Coupling Half Thread - 5058,7036,simple,PLATO5058,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Bathroom > Accessories > Allied,,,https://i.postimg.cc/brmc7fqg/5058.jpg,,,,,,,,,,Material,Brass,1,0,Size,32 mm,1,0,,Package Content,Waste Coupling Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
SS Waste Coupling Full Thread - 5059,7037,simple,PLATO5059,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Bathroom > Accessories > Allied,,,https://i.postimg.cc/L4Nc6RMB/5059.jpg,,,,,,,,,,Material,Brass,1,0,Size,32 mm,1,0,,Package Content,Waste Coupling Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Spl. Pop-Up Waste Coupling Full Thread - 5085,7038,simple,PLATO5085,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Bathroom > Accessories > Allied,,,https://i.postimg.cc/0Q5VLMrg/5085.jpg,,,,,,,,,,Material,Brass,1,0,Size,32mm x 125 mm,1,0,,Package Content,Waste Coupling Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Ebro SS Waste Coupling Full Thread - 5088,7039,simple,PLATO5088,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Bathroom > Accessories > Allied,,,https://i.postimg.cc/y6kMdt6M/5088.jpg,,,,,,,,,,Material,Brass,1,0,Size,32 mm,1,0,,Package Content,Waste Coupling Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Ceramic Click Clack Waste Coupling - 5091,7040,simple,PLATO5089,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Bathroom > Accessories > Allied,,,https://i.postimg.cc/MK1rf8CF/5089.jpg,,,,,,,,,,Material,Brass,1,0,Size,32mm x 125 mm,1,0,,Package Content,Waste Coupling Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Ceramic Click Clack Waste Coupling - 5090,7041,simple,PLATO5090,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Bathroom > Accessories > Allied,,,https://i.postimg.cc/gJ6K9VdT/5090.jpg,,,,,,,,,,Material,Brass,1,0,Size,32mm x 80 mm,1,0,,Package Content,Waste Coupling Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
