Name,ID,Type,SKU,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 3 default,Attribute 6 default
Square Cockroach Trap - 9117,7062,simple,PLATO9117,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,408,480,Bathroom > Accessories > Allied,,,https://i.postimg.cc/XqYHRZHG/9117.jpg,,,,,,,,,,Material,Stainless Steel (SS 304),1,0,Size,125mmx125 mm,1,0,,Package Content,Cockroach Trap Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Square Cockroach Trap - 9119,7063,simple,PLATO9119,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,408,480,Bathroom > Accessories > Allied,,,https://i.postimg.cc/Prc375mJ/9119.jpg,,,,,,,,,,Material,Stainless Steel (SS 304),1,0,Size,125mmx125 mm,1,0,,Package Content,Cockroach Trap Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Line Heavy Designer Grating - 9040,7065,simple,PLATO9040,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,332,390,Bathroom > Accessories > Allied,,,https://i.postimg.cc/Zqj61w1H/9040.jpg,,,,,,,,,,Material,Stainless Steel (SS 430),1,0,Size,150mmx150 mm,1,0,,Package Content,Grating Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Plain Heavy Designer Grating - 9041,7066,simple,PLATO9041,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,332,390,Bathroom > Accessories > Allied,,,https://i.postimg.cc/Jnnjmb8L/9041.jpg,,,,,,,,,,Material,Stainless Steel (SS 430),1,0,Size,150mmx150 mm,1,0,,Package Content,Grating Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Boxe Heavy Designer Grating - 9042,7067,simple,PLATO9042,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,332,390,Bathroom > Accessories > Allied,,,https://i.postimg.cc/cCtYt06k/9042.jpg,,,,,,,,,,Material,Stainless Steel (SS 430),1,0,Size,150mmx150 mm,1,0,,Package Content,Grating Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Wave Heavy Designer Grating - 9043,7068,simple,PLATO9043,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,332,390,Bathroom > Accessories > Allied,,,https://i.postimg.cc/bY4VCv0J/9043.jpg,,,,,,,,,,Material,Stainless Steel (SS 430),1,0,Size,150mmx150 mm,1,0,,Package Content,Grating Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Wow Heavy Designer Grating - 9044,7069,simple,PLATO9044,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,332,390,Bathroom > Accessories > Allied,,,https://i.postimg.cc/9Mr113rZ/9044.jpg,,,,,,,,,,Material,Stainless Steel (SS 430),1,0,Size,150mmx150 mm,1,0,,Package Content,Grating Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Croc Heavy Designer Grating - 9045,7070,simple,PLATO9045,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,332,390,Bathroom > Accessories > Allied,,,https://i.postimg.cc/y8sPt3DV/9045.jpg,,,,,,,,,,Material,Stainless Steel (SS 430),1,0,Size,150mmx150 mm,1,0,,Package Content,Grating Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Maze Heavy Designer Grating - 9046,7071,simple,PLATO9046,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,332,390,Bathroom > Accessories > Allied,,,https://i.postimg.cc/d1rZJnfg/9046.jpg,,,,,,,,,,Material,Stainless Steel (SS 430),1,0,Size,150mmx150 mm,1,0,,Package Content,Grating Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
SS Rack Bolt - 3001,7072,simple,PLATO3001,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,128,150,Bathroom > Accessories > Allied,,,https://i.postimg.cc/Cx2RDWTW/3001.jpg,,,,,,,,,,Material,Stainless Steel,1,0,Size,10mmx150 mm,1,0,,Package Content,"Nut, Bolt, Washer, Wrench, Plastic Plug.",1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
MS Rack Bolt with Cap - 3002,7073,simple,PLATO3002,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,77,90,Bathroom > Accessories > Allied,,,https://i.postimg.cc/LXt5c5Yp/3002.jpg,,,,,,,,,,Material,Mild Steel,1,0,Size,12mmx150 mm,1,0,,Package Content,"Nut, Bolt, Washer, Wrench, Plastic Plug.",1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
SS Rack Bolt - 3011,7074,simple,PLATO3011,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,255,300,Bathroom > Accessories > Allied,,,https://i.postimg.cc/Bn3dQvV6/3011.jpg,,,,,,,,,,Material,Stainless Steel,1,0,Size,12mmx150 mm,1,0,,Package Content,"Nut, Bolt, Washer, Wrench, Plastic Plug.",1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
SS Rack Bolt with Cap - 3012,7075,simple,PLATO3012,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,281,330,Bathroom > Accessories > Allied,,,https://i.postimg.cc/ZqCjTt4n/3012.jpg,,,,,,,,,,Material,Stainless Steel,1,0,Size,12mmx150 mm,1,0,,Package Content,"Nut, Bolt, Washer, Wrench, Plastic Plug.",1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
MS Rack Bolt with ABS Cap - 3024,7076,simple,PLATO3024,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,357,420,Bathroom > Accessories > Allied,,,https://i.postimg.cc/zBhjgCL1/3024.jpg,,,,,,,,,,Material,Mild Steel,1,0,Size,15mmx150 mm,1,0,,Package Content,"Nut, Bolt, Washer, Wrench, Plastic Plug.",1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
