Name,ID,Type,SKU,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (mm),Width (mm),Height (mm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 3 default,Attribute 6 default
Table Top Wash Basin - Cover RG-001,8165,simple,SNTTTWBCOVRRG001,1,0,visible,,,,,taxable,,0,0,,0,0,,480,360,130,1,,7285,8570,Bathroom > Wash Basin > Art Basins,,,https://i.postimg.cc/cJ6fKLKV/Cover-RG001.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Table Top Wash Basin - Shui ,8166,simple,SNTTTWBSHUI,1,0,visible,,,,,taxable,,0,0,,0,0,,560,420,180,1,,7769,9140,Bathroom > Wash Basin > Art Basins,,,https://i.postimg.cc/wjM12b6N/Shui.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Table Top Wash Basin - Salomon BG-01,8167,simple,SNTTTWBSNSALMONBG01,1,0,visible,,,,,taxable,,0,0,,0,0,,425,425,120,1,,7042,8285,Bathroom > Wash Basin > Art Basins,,,https://i.postimg.cc/6qB3vMjy/Salomon-BG01.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Table Top Wash Basin - Clivia WG-01,8168,simple,SNTTTWBCLVIAWG01,1,0,visible,,,,,taxable,,0,0,,0,0,,440,440,130,1,,6316,7430,Bathroom > Wash Basin > Art Basins,,,https://i.postimg.cc/dVh0rkBm/Clivia-WG01.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Table Top Wash Basin - Clivia WG-02,8169,simple,SNTTTWBCLVIAWG02,1,0,visible,,,,,taxable,,0,0,,0,0,,440,440,130,1,,6316,7430,Bathroom > Wash Basin > Art Basins,,,https://i.postimg.cc/7L7YtFj5/Clivia-WG02.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Table Top Wash Basin - Clivia WG-03,8170,simple,SNTTTWBCLVIAWG03,1,0,visible,,,,,taxable,,0,0,,0,0,,440,440,130,1,,6316,7430,Bathroom > Wash Basin > Art Basins,,,https://i.postimg.cc/L5yHZ2gb/Clivia-WG03.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Table Top Wash Basin - Compact BG-03,8171,simple,SNTTTWBCOMPCTBG03,1,0,visible,,,,,taxable,,0,0,,0,0,,385,385,140,1,,6316,7430,Bathroom > Wash Basin > Art Basins,,,https://i.postimg.cc/TYw2vLZM/Compact-BG03.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Table Top Wash Basin - Arrow G-01,8172,simple,SNTTTWBARRWG01,1,0,visible,,,,,taxable,,0,0,,0,0,,620,410,140,1,,7042,8285,Bathroom > Wash Basin > Art Basins,,,https://i.postimg.cc/Pr9HG6WY/Arrow-G01.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Table Top Wash Basin - Arrow S-02,8173,simple,SNTTTWBARRWG02,1,0,visible,,,,,taxable,,0,0,,0,0,,620,410,140,1,,7042,8285,Bathroom > Wash Basin > Art Basins,,,https://i.postimg.cc/0QVgVZ56/Arrow-S02.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Table Top Wash Basin - Arrow WG-03,8174,simple,SNTTTWBARRWWG03,1,0,visible,,,,,taxable,,0,0,,0,0,,620,410,140,1,,7042,8285,Bathroom > Wash Basin > Art Basins,,,https://i.postimg.cc/kMh38jhz/Arrow-WG-03.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Table Top Wash Basin - Cello BG-01,8175,simple,SNTTTWBCELLOBG01,1,0,visible,,,,,taxable,,0,0,,0,0,,600,400,145,1,,6800,8000,Bathroom > Wash Basin > Art Basins,,,https://i.postimg.cc/PrBgVCHM/Cello-BG01.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Table Top Wash Basin - Cello BG-02,8176,simple,SNTTTWBCELLOBG02,1,0,visible,,,,,taxable,,0,0,,0,0,,600,400,145,1,,6800,8000,Bathroom > Wash Basin > Art Basins,,,https://i.postimg.cc/SK4wqHJ2/Cello-BG02.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Table Top Wash Basin - Core WG-01,8177,simple,SNTTTWBCELLOWG01,1,0,visible,,,,,taxable,,0,0,,,,,440,440,130,,,6800,8000,Bathroom > Wash Basin > Art Basins,,,https://i.postimg.cc/FKGnvRM8/Core-WG01.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Table Top Wash Basin - Core WS-02,8178,simple,SNTTTWBCELLOWS02,1,0,visible,,,,,taxable,,0,0,,0,0,,440,440,130,1,,6800,8000,Bathroom > Wash Basin > Art Basins,,,https://i.postimg.cc/dtPM47wj/Core-WG02.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Table Top Wash Basin - Octagon WS-02,8179,simple,SNTTTWBOCTGONWS02,1,0,visible,,,,,taxable,,0,0,,0,0,,400,400,150,1,,6800,8000,Bathroom > Wash Basin > Art Basins,,,https://i.postimg.cc/K8fdGJL0/Octagon-WS-02.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Table Top Wash Basin - Octagon WG-02,8180,simple,SNTTTWBOCTGONWG02,1,0,visible,,,,,taxable,,0,0,,0,0,,400,400,150,1,,6800,8000,Bathroom > Wash Basin > Art Basins,,,https://i.postimg.cc/nzyWR5bh/Octagon-WG-02.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
