Name,ID,Type,SKU,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (mm),Width (mm),Height (mm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 3 default,Attribute 6 default
Table Top Basin - Spring (Thin Rim),1055,simple,TTBSPRING,1,0,visible,,,,,taxable,,1,,,0,0,,435,435,135,1,,2338,2750,Bathroom > Wash Basin > Counter Top,,,https://i.postimg.cc/PqsLLnhJ/Spring.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,,,,
Table Top Basin - Pearl,1056,simple,TTBPEARL,1,0,visible,,,,,taxable,,1,,,0,0,,480,370,145,1,,1870,2200,Bathroom > Wash Basin > Counter Top,,,https://i.postimg.cc/fLHTfG4x/Pearl-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,,,,
Wall Hung  Basin - Solid,1057,simple,WBSOLID,1,0,visible,,,,,taxable,,1,,,0,0,,440,290,150,1,,978,1150,Bathroom > Wash Basin > Wall Hung,,,https://i.postimg.cc/Nj7tx3m5/Solid.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,,,,
Wall Hung  Basin - Cute,1058,simple,WBCUTE,1,0,visible,,,,,taxable,,1,,,0,0,,440,340,185,1,,765,900,Bathroom > Wash Basin > Wall Hung,,,https://i.postimg.cc/mDqWDBf6/Cute.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,,,,
Wall Hung Basin - Eros,1059,simple,WBEROS,1,0,visible,,,,,taxable,,1,,,0,0,,470,260,170,1,,893,1050,Bathroom > Wash Basin > Wall Hung,,,https://i.postimg.cc/y6gkTNdx/Eros.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,,,,
Wall Hung Basin - Sun,1060,simple,WBSUN,1,0,visible,,,,,taxable,,1,,,0,0,,450,300,109,1,,723,850,Bathroom > Wash Basin > Wall Hung,,,https://i.postimg.cc/bvVwxXf1/Sun.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,,,,
Wall Hung Basin - Sofy,1061,simple,WBSOFY,1,0,visible,,,,,taxable,,1,,,0,0,,425,285,130,1,,935,1100,Bathroom > Wash Basin > Wall Hung,,,https://i.postimg.cc/x1tfQrCB/Sofy.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,,,,
Wall Hung Basin - Café,1062,simple,WBCAFE,1,0,visible,,,,,taxable,,1,,,0,0,,565,387,132,1,,1445,1700,Bathroom > Wash Basin > Wall Hung,,,https://i.postimg.cc/TPsTyrn9/Cafe.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,,,,
Wall Hung Basin - Moon,1063,simple,WBMOON,1,0,visible,,,,,taxable,,1,,,0,0,,360,250,135,1,,842,990,Bathroom > Wash Basin > Wall Hung,,,https://i.postimg.cc/zDKqBHvC/Moon.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,,,,
Wall Hung Basin - Rex,1064,simple,WBREX,1,0,visible,,,,,taxable,,1,,,0,0,,510,300,165,1,,1063,1250,Bathroom > Wash Basin > Wall Hung,,,https://i.postimg.cc/Y26wkcD8/Rex.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,,,,
Wall Hung Basin - Yen,1065,simple,WBYEN,1,0,visible,,,,,taxable,,1,,,0,0,,450,350,170,1,,723,850,Bathroom > Wash Basin > Wall Hung,,,https://i.postimg.cc/y8rMn7W6/Yen.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,,,,
Wall Hung Basin - Etios,1066,simple,WBETIOS,1,0,visible,,,,,taxable,,1,,,0,0,,535,415,160,1,,1020,1200,Bathroom > Wash Basin > Wall Hung,,,https://i.postimg.cc/yd02V9jW/Etios.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,,,,
Wall Hung Basin - Latina,1067,simple,WBLATINA,1,0,visible,,,,,taxable,,1,,,0,0,,505,425,105,1,,1148,1350,Bathroom > Wash Basin > Wall Hung,,,https://i.postimg.cc/7hVczkpk/Latina.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,,,,
Wall Hung Basin - Elan,1068,simple,WBELAN,1,0,visible,,,,,taxable,,1,,,0,0,,400,310,140,1,,808,950,Bathroom > Wash Basin > Wall Hung,,,https://i.postimg.cc/wM0fvkmx/Elan.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,,,,
Wall Hung Basin - Corner,1069,simple,WBCORNER,1,0,visible,,,,,taxable,,1,,,0,0,,415,415,205,1,,723,850,Bathroom > Wash Basin > Wall Hung,,,https://i.postimg.cc/Kv8pWC61/Corner.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,,,,
