ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 3 default,Attribute 6 default
4034,simple,27333,Euromix Wall Mixer with Bend (High Flow) - 27333,1,0,visible,,,,,taxable,,1,7,,0,0,,,,,1,,3222,3790,Taps & Mixers,,,https://i.postimg.cc/fWvPCnW2/27333.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Wall Mixer,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4035,simple,3043,Long Life Bib Cock with Aerator - 3043,1,0,visible,,,,,taxable,,1,60,,0,0,,,,,1,,616,725,Taps & Mixers,,,https://i.postimg.cc/YSgnmTyx/3043.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Bib Cock ,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4036,simple,3522,Long Life Sink Cock with Swinging Spout - 3522,1,0,visible,,,,,taxable,,1,37,,0,0,,,,,1,,1335,1570,Kitchen > Kitchen Mixers,,,https://i.postimg.cc/kGMfzGMj/3522.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Sink Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4037,simple,3535,Long Life Sink Cock Extended Spout - 3535,1,0,visible,,,,,taxable,,1,11,,0,0,,,,,1,,1488,1750,Kitchen > Kitchen Mixers,,,https://i.postimg.cc/Gh2Xj45t/3535.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Sink Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4038,simple,4445,Forma Wall Mixer 3 in 1 System with Provision for both Telephone & Over Head Shower with Bend Pipe (High Flow) - 4445,1,0,visible,,,,,taxable,,1,3,,0,0,,,,,1,,4590,5400,Taps & Mixers,,,https://i.postimg.cc/JhwKmP4H/4445.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Wall Mixer,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4039,simple,4027,Forma Pillar Cock with Extra Long Spout - 4027,1,0,visible,,,,,taxable,,1,8,,0,0,,,,,1,,1870,2200,Taps & Mixers,,,https://i.postimg.cc/nzpk9rmH/4027.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Pillar Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4040,simple,14015,Forma Single Lever Basin Mixer - 14015,1,0,visible,,,,,taxable,,1,4,,0,0,,,,,1,,2975,3500,Taps & Mixers,,,https://i.postimg.cc/xC5PvQGL/14015.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Basin Mixer,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4041,simple,4011,Forma Pillar Cock - 4011,1,0,visible,,,,,taxable,,1,69,,0,0,,,,,1,,1063,1250,Taps & Mixers,,,https://i.postimg.cc/FzKVG6G8/4011.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Pillar Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4042,simple,4103,Forma Angular Stop Cock with Long Thread & Flange - 4103,1,0,visible,,,,,taxable,,1,29,,0,0,,,,,1,,850,1000,Bathroom > Accessories > Angle Cock,,,https://i.postimg.cc/4485nJxg/4103.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Stop Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4043,simple,14049k,Forma Exposed Kit for Single Lever Diverter Body High Flow (Suitable for ALD 049) - 14049K,1,0,visible,,,,,taxable,,1,44,,0,0,,,,,1,,1360,1600,Taps & Mixers,,,https://i.postimg.cc/JzXcTZcr/14049K.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Diverter Body (High Flow),1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
